Home,Home
"Go to Home Page","Go to Home Page"
FastOrder,FastOrder
Sku,Sku
Qty,Qty
SKU,SKU
"Product Name","Product Name"
"Short Description","Short Description"
Description,Description
"Meta Description","Meta Description"
"Near mini cart","Near mini cart"
"In top menu","In top menu"
"In footer","In footer"
"Display on customer dashboard","Display on customer dashboard"
"Could not save the fastorder: %1","Could not save the fastorder: %1"
"Fastorder with id ""%1"" does not exist.","Fastorder with id ""%1"" does not exist."
"Could not delete the Fastorder: %1","Could not delete the Fastorder: %1"
"fast order","fast order"
"Custom File","Custom File"
landofcoder,landofcoder
"Fast Order","Fast Order"
"General Configuration","General Configuration"
"Module Enable","Module Enable"
"Custom Route code","Custom Route code"
"Page Title","Page Title"
"Page Meta Description","Page Meta Description"
"Page Meta Keywords","Page Meta Keywords"
"Module enable breadcrumbs","Module enable breadcrumbs"
"Enable Upload CSV","Enable Upload CSV"
"Enable Instant Search","Enable Instant Search"
"Enable Add Multi Product SKUs","Enable Add Multi Product SKUs"
"Enabled for Customer Groups","Enabled for Customer Groups"
"Position of Fast order shortcut","Position of Fast order shortcut"
"Don't show menu","Don't show menu"
"Search Setting","Search Setting"
"Autosearch minimum character","Autosearch minimum character"
"Apply Search By Product Attributes","Apply Search By Product Attributes"
"Limit Search Results","Limit Search Results"
"Enable Display Product Image","Enable Display Product Image"
"Enable Filter Product Attribute","Enable Filter Product Attribute"
"Show new filter field on fastorder, allow filter products by attributes. Example: filter by barcode number.","Show new filter field on fastorder, allow filter products by attributes. Example: filter by barcode number."
"Filter by Attribute Code","Filter by Attribute Code"
"Input the attribute code with format: <strong>attribute_code</strong> or <strong>attribute_code1|attribute_code2|attribute_code3...</strong>","Input the attribute code with format: <strong>attribute_code</strong> or <strong>attribute_code1|attribute_code2|attribute_code3...</strong>"
"Filter Label","Filter Label"
"Input the filter label text will show on fast order","Input the filter label text will show on fast order"
"Filter Place Holder","Filter Place Holder"
"Input the filter place holder for search input will show on fast order","Input the filter place holder for search input will show on fast order"
"Filter Input Width","Filter Input Width"
"Input width of input search. Example: 50px. Empty to not use.","Input width of input search. Example: 50px. Empty to not use."
"Design Setting","Design Setting"
"Heading Background Color","Heading Background Color"
"Heading Text Color","Heading Text Color"
"Heading Background Button","Heading Background Button"
"Translate Setting","Translate Setting"
"Fast order","Fast order"
Product(s),Product(s)
Subtotal,Subtotal
Action,Action
"Total Qty:","Total Qty:"
"Sub total:","Sub total:"
"ADD TO CART","ADD TO CART"
CHECKOUT,CHECKOUT
"Add from file","Add from file"
"Choose File","Choose File"
"Download a sample CSV file","Download a sample CSV file"
"Enter multiple SKUs","Enter multiple SKUs"
"Enter multiple SKUs Note","Enter multiple SKUs Note"
"Add to list","Add to list"
loffastforder/fastorder/quickview,loffastforder/fastorder/quickview
